multiplier_name,category,pareto_dirs,bit_width,signed,mean_error,variance_error,std_error,n_samples,simulation_type
mul12u_2CC,12x12_unsigned,pareto_pwr_ep,12,False,-1020.0636,1744711.94135504,1320.875445057194,100000,"MC n=100,000"
mul12u_2CD,12x12_unsigned,pareto_pwr_ep,12,False,-1026.36147,1749015.289829439,1322.5034177004757,100000,"MC n=100,000"
mul12u_2CJ,12x12_unsigned,pareto_pwr_mre,12,False,-1187.55941,1759280.705790452,1326.3787942327983,100000,"MC n=100,000"
mul12u_2D0,12x12_unsigned,pareto_pwr_ep,12,False,-3085.1234,10146299.36743244,3185.3256297327657,100000,"MC n=100,000"
mul12u_2DA,12x12_unsigned,pareto_pwr_mae;pareto_pwr_wce,12,False,-12316.20315,32330498.26858008,5685.991405953766,100000,"MC n=100,000"
mul12u_2DL,12x12_unsigned,pareto_pwr_ep,12,False,-7164.31322,46458752.838013224,6816.0657888560045,100000,"MC n=100,000"
mul12u_2DV,12x12_unsigned,pareto_pwr_mse,12,False,-15391.06814,66334064.32917693,8144.572691625813,100000,"MC n=100,000"
mul12u_2EF,12x12_unsigned,pareto_pwr_mre,12,False,-30688.07863,269801030.4507273,16425.621158748527,100000,"MC n=100,000"
mul12u_2F1,12x12_unsigned,pareto_pwr_mse,12,False,-87858.59422,1874551077.8257225,43296.08617214404,100000,"MC n=100,000"
mul12u_2JV,12x12_unsigned,pareto_pwr_mae,12,False,-456461.19961,63470705230.77707,251933.93028883002,100000,"MC n=100,000"
mul12u_332,12x12_unsigned,pareto_pwr_ep;pareto_pwr_mae;pareto_pwr_mre;pareto_pwr_mse;pareto_pwr_wce,12,False,0.0,0.0,0.0,100000,"MC n=100,000"
mul12u_33C,12x12_unsigned,pareto_pwr_mae,12,False,-63196.7545,1630820955.3951297,40383.424265348396,100000,"MC n=100,000"
mul12u_33H,12x12_unsigned,pareto_pwr_mre,12,False,-255682.75003,26213084690.095585,161904.55425989593,100000,"MC n=100,000"
mul12u_33J,12x12_unsigned,pareto_pwr_mse;pareto_pwr_wce,12,False,-504742.38049,106527697963.64977,326385.8115231876,100000,"MC n=100,000"
mul12u_34G,12x12_unsigned,pareto_pwr_ep;pareto_pwr_mae;pareto_pwr_mre;pareto_pwr_mse;pareto_pwr_wce,12,False,-3151913.70114,5988506606509.812,2447142.5390666993,100000,"MC n=100,000"
mul16s_GQU,16x16_signed,pareto_pwr_ep,16,True,-49.86316,178801638.7152948,13371.67299612486,100000,"MC n=100,000"
mul16s_GQV,16x16_signed,pareto_pwr_ep,16,True,62.57456,179578429.6550808,13400.68765605261,100000,"MC n=100,000"
mul16s_GRU,16x16_signed,pareto_pwr_mre,16,True,15.29022,1256135059.4077523,35441.99570294755,100000,"MC n=100,000"
mul16s_GSM,16x16_signed,pareto_pwr_ep,16,True,287.78678,6295306785.605238,79342.96935208084,100000,"MC n=100,000"
mul16s_GV3,16x16_signed,pareto_pwr_ep;pareto_pwr_mae;pareto_pwr_mre;pareto_pwr_mse;pareto_pwr_wce,16,True,-1355.58898,477786650366.5084,691221.1298611382,100000,"MC n=100,000"
mul16s_HF7,16x16_signed,pareto_pwr_ep;pareto_pwr_mae;pareto_pwr_mse;pareto_pwr_wce,16,True,4.36159,356966230.7750827,18893.54997810318,100000,"MC n=100,000"
mul16s_HFB,16x16_signed,pareto_pwr_mae;pareto_pwr_mre;pareto_pwr_mse,16,True,-482.29788,12558764137.27677,112065.8919443234,100000,"MC n=100,000"
mul16s_HG4,16x16_signed,pareto_pwr_ep;pareto_pwr_mae;pareto_pwr_mre;pareto_pwr_mse;pareto_pwr_wce,16,True,0.0,0.0,0.0,100000,"MC n=100,000"
mul16s_HG8,16x16_signed,pareto_pwr_wce,16,True,173.55305,2518541014.738506,50185.06764704523,100000,"MC n=100,000"
mul16u_0Z6,16x16_unsigned,pareto_pwr_ep,16,False,-59480040.54502,2.42976848845287e+16,155877146.76798746,100000,"MC n=100,000"
mul16u_G4R,16x16_unsigned,pareto_pwr_ep,16,False,-114608.02701,11891649153.18446,109048.83838530541,100000,"MC n=100,000"
mul16u_G87,16x16_unsigned,pareto_pwr_mae,16,False,-4428620.98088,4854093813031.383,2203200.810872986,100000,"MC n=100,000"
mul16u_G88,16x16_unsigned,pareto_pwr_mse;pareto_pwr_wce,16,False,-6777490.11895,9108184464735.463,3017976.8827370866,100000,"MC n=100,000"
mul16u_GAU,16x16_unsigned,pareto_pwr_mse;pareto_pwr_wce,16,False,-75222280.79348,1705855515065971.5,41302003.76574933,100000,"MC n=100,000"
mul16u_GPV,16x16_unsigned,pareto_pwr_mse,16,False,-670486516.3965,2.6615310688815584e+17,515900287.7380045,100000,"MC n=100,000"
mul16u_HDT,16x16_unsigned,pareto_pwr_mre,16,False,-33159900.82584,435325604233109.3,20864457.918506037,100000,"MC n=100,000"
mul16u_HDX,16x16_unsigned,pareto_pwr_mae,16,False,-66102816.6512,1760961636802979.5,41963813.42064827,100000,"MC n=100,000"
mul16u_HE5,16x16_unsigned,pareto_pwr_ep;pareto_pwr_mae;pareto_pwr_mre;pareto_pwr_wce,16,False,-803896686.16213,3.91957912043555e+17,626065421.5364038,100000,"MC n=100,000"
mul8s_1KV6,8x8_signed,pareto_pwr_ep;pareto_pwr_mae;pareto_pwr_mre;pareto_pwr_mse;pareto_pwr_wce,8,True,0.0,0.0,0.0,65536,exhaustive
mul8s_1KV8,8x8_signed,pareto_pwr_mae;pareto_pwr_mre;pareto_pwr_mse;pareto_pwr_wce,8,True,-1.25,2.1875,1.479019945774904,65536,exhaustive
mul8s_1KV9,8x8_signed,pareto_pwr_mae;pareto_pwr_mre;pareto_pwr_mse;pareto_pwr_wce,8,True,-4.25,16.1875,4.02336923485777,65536,exhaustive
mul8s_1KVA,8x8_signed,pareto_pwr_mse;pareto_pwr_wce,8,True,-12.25,98.1875,9.908960591303208,65536,exhaustive
mul8s_1KVM,8x8_signed,pareto_pwr_ep,8,True,0.25,2730.6875,52.25598051897983,65536,exhaustive
mul8s_1KVP,8x8_signed,pareto_pwr_mae;pareto_pwr_wce,8,True,-2.25,2741.1875,52.356351095163234,65536,exhaustive
mul8s_1KVQ,8x8_signed,pareto_pwr_mre;pareto_pwr_mse,8,True,-8.25,2804.1875,52.954579594214515,65536,exhaustive
mul8s_1KX5,8x8_signed,pareto_pwr_mre;pareto_pwr_mse,8,True,-16.25,19426.1875,139.3778587150771,65536,exhaustive
mul8s_1KXF,8x8_signed,pareto_pwr_ep,8,True,1.75,95573.1875,309.149134723033,65536,exhaustive
mul8s_1L12,8x8_signed,pareto_pwr_ep;pareto_pwr_mae;pareto_pwr_mre;pareto_pwr_mse;pareto_pwr_wce,8,True,15.75,7282662.1875,2698.6408037195315,65536,exhaustive
mul8s_1L2J,8x8_signed,pareto_pwr_ep;pareto_pwr_mae;pareto_pwr_wce,8,True,0.75,5461.1875,73.89984776709625,65536,exhaustive
mul8s_1L2L,8x8_signed,pareto_pwr_mae;pareto_pwr_mre;pareto_pwr_mse;pareto_pwr_wce,8,True,3.75,38222.1875,195.50495518016928,65536,exhaustive
mul8s_1L2N,8x8_signed,pareto_pwr_mae;pareto_pwr_mre;pareto_pwr_mse;pareto_pwr_wce,8,True,15.75,190990.1875,437.02424131848795,65536,exhaustive
mul8u_0AB,8x8_unsigned,pareto_pwr_wce,8,False,7.28125,1954.8271484375,44.21342724147835,65536,exhaustive
mul8u_12KA,8x8_unsigned,pareto_pwr_ep,8,False,12.0,1648.0,40.59556626036888,65536,exhaustive
mul8u_12YX,8x8_unsigned,pareto_pwr_mre,8,False,-0.5,1.75,1.3228756555322954,65536,exhaustive
mul8u_17C8,8x8_unsigned,pareto_pwr_wce,8,False,-172.25,180053.3359375,424.32692106146175,65536,exhaustive
mul8u_17MJ,8x8_unsigned,pareto_pwr_mae,8,False,-1376.25,27426382.1875,5237.0203539321865,65536,exhaustive
mul8u_17MN,8x8_unsigned,pareto_pwr_wce,8,False,-2335.25,37357681.1875,6112.093028374159,65536,exhaustive
mul8u_17R6,8x8_unsigned,pareto_pwr_mse,8,False,-179.25,273309.6875,522.7902901737942,65536,exhaustive
mul8u_18UH,8x8_unsigned,pareto_pwr_mae,8,False,-530.234375,638542.5935058594,799.088601786973,65536,exhaustive
mul8u_197B,8x8_unsigned,pareto_pwr_wce,8,False,-68.6484375,16324.384216308594,127.76691362128379,65536,exhaustive
mul8u_19XF,8x8_unsigned,pareto_pwr_mse,8,False,-39.517578125,32093.07098007202,179.14539061910585,65536,exhaustive
mul8u_1A0M,8x8_unsigned,pareto_pwr_mse,8,False,-90.46875,5446144.9833984375,2333.697706087581,65536,exhaustive
mul8u_1DMU,8x8_unsigned,pareto_pwr_ep,8,False,-423.125,466301.109375,682.862438105216,65536,exhaustive
mul8u_1JJQ,8x8_unsigned,pareto_pwr_ep;pareto_pwr_mae;pareto_pwr_mre;pareto_pwr_mse;pareto_pwr_wce,8,False,0.0,0.0,0.0,65536,exhaustive
mul8u_1SX,8x8_unsigned,pareto_pwr_mse,8,False,-4122.25,52885266.1875,7272.225669456359,65536,exhaustive
mul8u_27Y,8x8_unsigned,pareto_pwr_mse,8,False,-0.25,1.4375,1.1989578808281798,65536,exhaustive
mul8u_2NDH,8x8_unsigned,pareto_pwr_mre,8,False,-85.69921875,165175.97007751465,406.41846670336554,65536,exhaustive
mul8u_2V0,8x8_unsigned,pareto_pwr_wce,8,False,0.375,1.734375,1.3169567191065923,65536,exhaustive
mul8u_4TF,8x8_unsigned,pareto_pwr_ep,8,False,-249.0,5514767.0,2348.354104474025,65536,exhaustive
mul8u_4X5,8x8_unsigned,pareto_pwr_mae,8,False,-0.3125,4.90234375,2.214123697989794,65536,exhaustive
mul8u_874,8x8_unsigned,pareto_pwr_ep,8,False,-23.5625,12129.30859375,110.13314030640369,65536,exhaustive
mul8u_8U3,8x8_unsigned,pareto_pwr_ep,8,False,-71.4375,47759.43359375,218.53931818725434,65536,exhaustive
mul8u_BG1,8x8_unsigned,pareto_pwr_ep,8,False,-284.3125,305498.40234375,552.7190989496835,65536,exhaustive
mul8u_C67,8x8_unsigned,pareto_pwr_mse,8,False,-3.75,199.0625,14.108951059522463,65536,exhaustive
mul8u_DG8,8x8_unsigned,pareto_pwr_mae,8,False,-1.0625,57.24609375,7.566114838541641,65536,exhaustive
